method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std,runtime_seconds
full_memory,100,2,-0.4444444444444445,0.0,0.0,-1.3333333333333335,3,3,3,0,0,0,0,0,2,0.0,0.0
retrieval,100,2,-0.4444444444444445,0.0,0.0,-1.3333333333333335,3,3,3,0,0,0,0,0,2,0.0,0.0
smtr_uniform,100,2,0.2222222222222222,0.0,0.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,100,2,0.2222222222222222,0.0,0.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,11,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,11,1,0.3333333333333333,0.0,1.0,0.0,3,3,3,0,1,0,0,0,0,0.0,0.0
retrieval,11,1,0.3333333333333333,0.0,1.0,0.0,3,3,3,0,1,0,0,0,0,0.0,0.0
smtr_uniform,11,1,0.3333333333333333,0.0,1.0,0.0,1,1,1,0,1,0,0,0,0,0.0,0.0
smtr_receiver,11,1,0.3333333333333333,0.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0.4714045207910317,0.0
no_memory,11,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,11,2,1.6666666666666667,1.0,2.0,2.0,5,5,5,1,2,2,0,0,0,0.0,0.0
retrieval,11,2,0.3333333333333333,0.0,1.0,0.0,3,3,3,0,1,0,0,0,0,0.0,0.0
smtr_uniform,11,2,1.6666666666666667,1.0,2.0,2.0,3,3,3,1,2,2,0,0,0,0.0,0.0001
smtr_receiver,11,2,1.6666666666666667,1.0,2.0,2.0,1,2,2,1,2,2,0,0,0,0.4714045207910317,0.0
no_memory,13,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,13,2,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0.0,0.0
retrieval,13,2,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0.0,0.0
smtr_uniform,13,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,13,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,16,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,16,0,0.6666666666666666,1.0,1.0,0.0,5,5,5,0,0,0,0,0,1,0.0,0.0
retrieval,16,0,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,16,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,16,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,16,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,16,1,0.6666666666666666,1.0,1.0,0.0,6,6,6,0,0,0,0,0,1,0.0,0.0
retrieval,16,1,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,16,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,16,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,17,0,0.08333333333333333,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,17,0,0.08333333333333333,0.0,-0.75,1.0,4,4,4,0,0,1,0,1,0,0.0,0.0
retrieval,17,0,0.08333333333333333,0.0,-0.75,1.0,3,3,3,0,0,1,0,1,0,0.0,0.0
smtr_uniform,17,0,0.4166666666666667,0.0,0.25,1.0,1,1,1,0,0,1,0,0,0,0.0,0.0
smtr_receiver,17,0,0.4166666666666667,0.0,0.25,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317,0.0
no_memory,17,1,0.08333333333333333,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,17,1,1.0833333333333333,1.0,1.25,1.0,4,4,4,1,2,1,0,1,0,0.0,0.0
retrieval,17,1,1.0833333333333333,1.0,1.25,1.0,3,3,3,1,2,1,0,1,0,0.0,0.0
smtr_uniform,17,1,1.4166666666666667,1.0,2.25,1.0,2,2,2,1,2,1,0,0,0,0.0,0.0
smtr_receiver,17,1,1.4166666666666667,1.0,2.25,1.0,1,2,1,1,2,1,0,0,0,0.4714045207910317,0.0
no_memory,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,19,0,-2.6666666666666665,-3.0,-2.0,-3.0,5,5,5,0,0,0,4,3,4,0.0,0.0
retrieval,19,0,-1.0,-1.0,-1.0,-1.0,3,3,3,0,0,0,2,2,2,0.0,0.0
smtr_uniform,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,19,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,19,1,0.6666666666666666,1.0,1.0,0.0,4,4,4,1,1,0,0,0,0,0.0,0.0
retrieval,19,1,0.6666666666666666,1.0,1.0,0.0,3,3,3,1,1,0,0,0,0,0.0,0.0
smtr_uniform,19,1,0.6666666666666666,1.0,1.0,0.0,1,1,1,1,1,0,0,0,0,0.0,0.0
smtr_receiver,19,1,0.6666666666666666,1.0,1.0,0.0,1,1,0,1,1,0,0,0,0,0.4714045207910317,0.0
no_memory,19,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,19,2,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0.0,0.0
retrieval,19,2,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0.0,0.0
smtr_uniform,19,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,19,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,2,2,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,2,2,0.4444444444444445,1.0,0.16666666666666666,0.16666666666666666,6,6,6,1,1,1,0,1,1,0.0,0.0
retrieval,2,2,0.7777777777777778,1.0,1.1666666666666667,0.16666666666666666,3,3,3,1,1,1,0,0,1,0.0,0.0
smtr_uniform,2,2,1.1111111111111114,1.0,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0,0.0001
smtr_receiver,2,2,1.1111111111111114,1.0,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0,0.0
no_memory,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,21,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0.0,0.0
retrieval,21,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0.0,0.0
smtr_uniform,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,21,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,21,2,1.3333333333333333,1.0,2.0,1.0,5,5,5,1,2,1,0,0,0,0.0,0.0
retrieval,21,2,0.3333333333333333,0.0,1.0,0.0,3,3,3,0,1,0,0,0,0,0.0,0.0
smtr_uniform,21,2,1.3333333333333333,1.0,2.0,1.0,2,2,2,1,2,1,0,0,0,0.0,0.0001
smtr_receiver,21,2,1.3333333333333333,1.0,2.0,1.0,1,2,1,1,2,1,0,0,0,0.4714045207910317,0.0
no_memory,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,22,0,1.0,1.0,1.0,1.0,4,4,4,0,0,0,0,0,0,0.0,0.0
retrieval,22,0,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,22,1,0.6666666666666666,1.0,1.0,0.0,5,5,5,0,0,0,0,0,1,0.0,0.0
retrieval,22,1,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,23,0,0.08333333333333333,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,23,0,0.4166666666666667,1.0,0.25,0.0,4,4,4,1,1,0,0,1,0,0.0,0.0
retrieval,23,0,0.4166666666666667,1.0,0.25,0.0,3,3,3,1,1,0,0,1,0,0.0,0.0
smtr_uniform,23,0,0.75,1.0,1.25,0.0,1,1,1,1,1,0,0,0,0,0.0,0.0
smtr_receiver,23,0,0.75,1.0,1.25,0.0,1,1,0,1,1,0,0,0,0,0.4714045207910317,0.0
no_memory,23,1,0.05555555555555555,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,23,1,1.0555555555555556,2.0,1.1666666666666667,0.0,6,6,6,2,2,0,0,1,0,0.0,0.0
retrieval,23,1,0.3888888888888889,1.0,0.16666666666666666,0.0,3,3,3,1,1,0,0,1,0,0.0,0.0
smtr_uniform,23,1,1.3888888888888886,2.0,2.1666666666666665,0.0,2,2,2,2,2,0,0,0,0,0.0,0.0001
smtr_receiver,23,1,1.3888888888888886,2.0,2.1666666666666665,0.0,2,2,0,2,2,0,0,0,0,0.9428090415820634,0.0
no_memory,23,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,23,2,1.6666666666666667,2.0,2.0,1.0,5,5,5,2,2,1,0,0,0,0.0,0.0
retrieval,23,2,1.0,1.0,1.0,1.0,3,3,3,1,1,1,0,0,0,0.0,0.0
smtr_uniform,23,2,1.6666666666666667,2.0,2.0,1.0,2,2,2,2,2,1,0,0,0,0.0,0.0001
smtr_receiver,23,2,1.6666666666666667,2.0,2.0,1.0,2,2,1,2,2,1,0,0,0,0.4714045207910317,0.0
no_memory,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,26,0,0.3333333333333333,1.0,0.0,0.0,6,6,6,0,0,0,0,1,1,0.0,0.0
retrieval,26,0,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,26,1,-0.3333333333333333,0.0,0.0,-1.0,6,6,6,0,0,0,1,1,2,0.0,0.0
retrieval,26,1,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,26,2,0.3333333333333333,1.0,0.0,0.0,6,6,6,0,0,0,0,1,1,0.0,0.0
retrieval,26,2,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,27,0,0.3333333333333333,1.0,-1.0,1.0,5,5,5,0,0,0,0,2,0,0.0,0.0
retrieval,27,0,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0,0.0
smtr_uniform,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,27,1,0.6666666666666666,1.0,0.0,1.0,5,5,5,0,0,0,0,1,0,0.0,0.0
retrieval,27,1,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0,0.0
smtr_uniform,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,27,2,0.3333333333333333,1.0,-1.0,1.0,4,4,4,0,0,0,0,2,0,0.0,0.0
retrieval,27,2,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0,0.0
smtr_uniform,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,29,0,0.06666666666666667,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,29,0,1.7333333333333334,1.0,3.0,1.2,5,5,5,1,3,2,0,0,1,0.0,0.0
retrieval,29,0,0.39999999999999997,0.0,1.0,0.2,3,3,3,0,1,1,0,0,1,0.0,0.0
smtr_uniform,29,0,2.066666666666667,1.0,3.0,2.2,3,3,3,1,3,2,0,0,0,0.0,0.0001
smtr_receiver,29,0,2.066666666666667,1.0,3.0,2.2,1,3,2,1,3,2,0,0,0,0.816496580927726,0.0
no_memory,29,1,0.05555555555555555,0.0,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,29,1,0.7222222222222222,0.0,2.0,0.16666666666666666,6,6,6,0,2,1,0,0,1,0.0,0.0
retrieval,29,1,0.3888888888888889,0.0,1.0,0.16666666666666666,3,3,3,0,1,1,0,0,1,0.0,0.0
smtr_uniform,29,1,1.0555555555555556,0.0,2.0,1.1666666666666667,2,2,2,0,2,1,0,0,0,0.0,0.0001
smtr_receiver,29,1,1.0555555555555556,0.0,2.0,1.1666666666666667,0,2,1,0,2,1,0,0,0,0.816496580927726,0.0
no_memory,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,3,0,-3.0,-4.0,-2.0,-3.0,6,6,6,0,0,0,5,3,4,0.0,0.0
retrieval,3,0,-1.0,-1.0,-1.0,-1.0,3,3,3,0,0,0,2,2,2,0.0,0.0
smtr_uniform,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,3,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,3,1,0.6666666666666666,1.0,0.0,1.0,5,5,5,1,0,1,0,0,0,0.0,0.0
retrieval,3,1,0.3333333333333333,1.0,0.0,0.0,3,3,3,1,0,0,0,0,0,0.0,0.0
smtr_uniform,3,1,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0,0.0001
smtr_receiver,3,1,0.6666666666666666,1.0,0.0,1.0,1,0,1,1,0,1,0,0,0,0.4714045207910317,0.0
no_memory,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,30,2,1.0,1.0,1.0,1.0,4,4,4,0,0,0,0,0,0,0.0,0.0
retrieval,30,2,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,31,1,0.06666666666666667,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,31,1,-0.26666666666666666,0.0,-0.8,0.0,5,5,5,0,0,0,0,1,0,0.0,0.0
retrieval,31,1,0.06666666666666667,0.0,0.2,0.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,31,1,0.06666666666666667,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,31,1,0.06666666666666667,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,31,2,0.0,0.0,0.0,0.0,3,3,3,0,0,0,1,1,1,0.0,0.0
retrieval,31,2,0.0,0.0,0.0,0.0,3,3,3,0,0,0,1,1,1,0.0,0.0
smtr_uniform,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,32,0,-2.6666666666666665,-3.0,-3.0,-2.0,4,4,4,0,0,0,4,4,3,0.0,0.0
retrieval,32,0,-1.6666666666666667,-2.0,-2.0,-1.0,3,3,3,0,0,0,3,3,2,0.0,0.0
smtr_uniform,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,32,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,32,1,2.3333333333333335,2.0,3.0,2.0,5,5,5,2,3,2,0,0,0,0.0,0.0
retrieval,32,1,1.3333333333333333,1.0,2.0,1.0,3,3,3,1,2,1,0,0,0,0.0,0.0
smtr_uniform,32,1,2.3333333333333335,2.0,3.0,2.0,3,3,3,2,3,2,0,0,0,0.0,0.0001
smtr_receiver,32,1,2.3333333333333335,2.0,3.0,2.0,2,3,2,2,3,2,0,0,0,0.4714045207910317,0.0
no_memory,33,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,33,1,2.3333333333333335,2.0,2.0,3.0,5,5,5,2,2,3,0,0,0,0.0,0.0
retrieval,33,1,2.0,2.0,2.0,2.0,3,3,3,2,2,2,0,0,0,0.0,0.0
smtr_uniform,33,1,2.3333333333333335,2.0,2.0,3.0,3,3,3,2,2,3,0,0,0,0.0,0.0001
smtr_receiver,33,1,2.3333333333333335,2.0,2.0,3.0,2,2,3,2,2,3,0,0,0,0.4714045207910317,0.0
no_memory,33,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,33,2,0.3333333333333333,0.0,0.0,1.0,6,6,6,0,0,1,0,0,0,0.0,0.0
retrieval,33,2,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,33,2,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0,0.0001
smtr_receiver,33,2,0.3333333333333333,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317,0.0
no_memory,34,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,34,0,0.0,0.0,0.0,0.0,5,5,5,0,0,0,0,0,0,0.0,0.0
retrieval,34,0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,34,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,34,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,34,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,34,1,2.0,2.0,2.0,2.0,6,6,6,2,2,2,0,0,0,0.0,0.0
retrieval,34,1,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,34,1,2.0,2.0,2.0,2.0,2,2,2,2,2,2,0,0,0,0.0,0.0001
smtr_receiver,34,1,2.0,2.0,2.0,2.0,2,2,2,2,2,2,0,0,0,0.0,0.0
no_memory,34,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,34,2,1.6666666666666667,2.0,2.0,1.0,5,5,5,2,2,1,0,0,0,0.0,0.0
retrieval,34,2,1.6666666666666667,2.0,2.0,1.0,3,3,3,2,2,1,0,0,0,0.0,0.0
smtr_uniform,34,2,1.6666666666666667,2.0,2.0,1.0,2,2,2,2,2,1,0,0,0,0.0,0.0001
smtr_receiver,34,2,1.6666666666666667,2.0,2.0,1.0,2,2,1,2,2,1,0,0,0,0.4714045207910317,0.0
no_memory,36,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,36,0,0.6666666666666666,1.0,1.0,0.0,5,5,5,0,0,0,0,0,1,0.0,0.0
retrieval,36,0,0.6666666666666666,1.0,1.0,0.0,3,3,3,0,0,0,0,0,1,0.0,0.0
smtr_uniform,36,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,36,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,36,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,36,1,0.6666666666666666,1.0,1.0,0.0,5,5,5,0,0,0,0,0,1,0.0,0.0
retrieval,36,1,0.6666666666666666,1.0,1.0,0.0,3,3,3,0,0,0,0,0,1,0.0,0.0
smtr_uniform,36,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,36,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,36,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,36,2,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
retrieval,36,2,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0,0.0
smtr_uniform,36,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,36,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,37,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,37,0,-0.3333333333333333,0.0,0.0,-1.0,6,6,6,0,0,0,1,1,2,0.0,0.0
retrieval,37,0,-0.3333333333333333,0.0,0.0,-1.0,3,3,3,0,0,0,1,1,2,0.0,0.0
smtr_uniform,37,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,37,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,37,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,37,1,0.0,0.0,0.0,0.0,4,4,4,0,0,0,1,1,1,0.0,0.0
retrieval,37,1,0.0,0.0,0.0,0.0,3,3,3,0,0,0,1,1,1,0.0,0.0
smtr_uniform,37,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,37,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,37,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,37,2,-1.3333333333333333,-1.0,-1.0,-2.0,5,5,5,0,0,0,2,2,3,0.0,0.0
retrieval,37,2,-0.3333333333333333,0.0,0.0,-1.0,3,3,3,0,0,0,1,1,2,0.0,0.0
smtr_uniform,37,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0001
smtr_receiver,37,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0
