method,task_id,receiver_id,seed,n_candidates,n_injected,n_positive,n_harmful,n_neutral,total_tau,withhold_reward,method_reward
no_memory,77,agent1,0,2,0,0,0,0,0.0,0.0,0.0
no_memory,77,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,79,agent1,0,3,0,0,0,0,0.0,0.0,0.0
no_memory,79,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,8,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,80,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,80,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,80,agent1,2,4,0,0,0,0,0.0,0.0,0.0
no_memory,82,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,82,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,84,agent1,0,3,0,0,0,0,0.0,0.0,0.0
no_memory,84,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,84,agent1,2,4,0,0,0,0,0.0,0.0,0.0
no_memory,85,agent1,0,6,0,0,0,0,0.0,0.0,0.0
no_memory,85,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,87,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,87,agent1,2,3,0,0,0,0,0.0,0.0,0.0
no_memory,88,agent1,1,4,0,0,0,0,0.0,0.0,0.0
no_memory,88,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,89,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,89,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,9,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,9,agent1,1,5,0,0,0,0,0.0,1.0,1.0
no_memory,9,agent1,2,5,0,0,0,0,0.0,1.0,1.0
full_memory,10,agent1,0,4,4,3,0,1,3.0,0.0,3.0
full_memory,10,agent1,1,2,2,1,0,1,1.0,0.0,1.0
full_memory,10,agent1,2,2,2,1,0,1,1.0,0.0,1.0
full_memory,100,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,100,agent1,2,3,3,0,0,3,0.0,0.0,0.0
full_memory,11,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,11,agent1,2,5,5,1,0,4,1.0,0.0,1.0
full_memory,13,agent1,2,1,1,0,0,1,0.0,1.0,1.0
full_memory,16,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,16,agent1,1,6,6,0,0,6,0.0,1.0,1.0
full_memory,17,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,17,agent1,1,4,4,1,0,3,1.0,0.0,1.0
full_memory,19,agent1,0,5,5,0,4,1,-4.0,1.0,-3.0
full_memory,19,agent1,1,4,4,1,0,3,1.0,0.0,1.0
full_memory,19,agent1,2,2,2,0,0,2,0.0,0.0,0.0
full_memory,2,agent1,2,6,6,1,0,5,1.0,0.0,1.0
full_memory,21,agent1,0,1,1,0,0,1,0.0,0.0,0.0
full_memory,21,agent1,2,5,5,1,0,4,1.0,0.0,1.0
full_memory,22,agent1,0,4,4,0,0,4,0.0,1.0,1.0
full_memory,22,agent1,1,5,5,0,0,5,0.0,1.0,1.0
full_memory,23,agent1,0,4,4,1,0,3,1.0,0.0,1.0
full_memory,23,agent1,1,6,6,2,0,4,2.0,0.0,2.0
full_memory,23,agent1,2,5,5,2,0,3,2.0,0.0,2.0
full_memory,26,agent1,0,6,6,0,0,6,0.0,1.0,1.0
full_memory,26,agent1,1,6,6,0,1,5,-1.0,1.0,0.0
full_memory,26,agent1,2,6,6,0,0,6,0.0,1.0,1.0
full_memory,27,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,27,agent1,1,5,5,0,0,5,0.0,1.0,1.0
full_memory,27,agent1,2,4,4,0,0,4,0.0,1.0,1.0
full_memory,29,agent1,0,5,5,1,0,4,1.0,0.0,1.0
full_memory,29,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,3,agent1,0,6,6,0,5,1,-5.0,1.0,-4.0
full_memory,3,agent1,1,5,5,1,0,4,1.0,0.0,1.0
full_memory,30,agent1,2,4,4,0,0,4,0.0,1.0,1.0
full_memory,31,agent1,1,5,5,0,0,5,0.0,0.0,0.0
full_memory,31,agent1,2,3,3,0,1,2,-1.0,1.0,0.0
full_memory,32,agent1,0,4,4,0,4,0,-4.0,1.0,-3.0
full_memory,32,agent1,1,5,5,2,0,3,2.0,0.0,2.0
full_memory,33,agent1,1,5,5,2,0,3,2.0,0.0,2.0
full_memory,33,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,34,agent1,0,5,5,0,0,5,0.0,0.0,0.0
full_memory,34,agent1,1,6,6,2,0,4,2.0,0.0,2.0
full_memory,34,agent1,2,5,5,2,0,3,2.0,0.0,2.0
full_memory,36,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,36,agent1,1,5,5,0,0,5,0.0,1.0,1.0
full_memory,36,agent1,2,3,3,0,0,3,0.0,1.0,1.0
full_memory,37,agent1,0,6,6,0,1,5,-1.0,1.0,0.0
full_memory,37,agent1,1,4,4,0,1,3,-1.0,1.0,0.0
full_memory,37,agent1,2,5,5,0,2,3,-2.0,1.0,-1.0
full_memory,41,agent1,0,6,6,0,1,5,-1.0,1.0,0.0
full_memory,41,agent1,1,5,5,4,0,1,4.0,0.0,4.0
full_memory,41,agent1,2,5,5,0,0,5,0.0,1.0,1.0
full_memory,42,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,42,agent1,1,6,6,0,1,5,-1.0,1.0,0.0
full_memory,42,agent1,2,5,5,0,0,5,0.0,1.0,1.0
full_memory,48,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,48,agent1,2,5,5,0,0,5,0.0,1.0,1.0
full_memory,51,agent1,0,6,6,0,0,6,0.0,0.0,0.0
full_memory,51,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,51,agent1,2,4,4,1,0,3,1.0,0.0,1.0
full_memory,57,agent1,0,6,6,0,0,6,0.0,0.0,0.0
full_memory,57,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,57,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,60,agent1,0,6,6,0,2,4,-2.0,1.0,-1.0
full_memory,60,agent1,1,6,6,0,0,6,0.0,1.0,1.0
full_memory,60,agent1,2,6,6,0,4,2,-4.0,1.0,-3.0
full_memory,61,agent1,0,5,5,0,0,5,0.0,0.0,0.0
full_memory,61,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,61,agent1,2,5,5,0,0,5,0.0,0.0,0.0
full_memory,63,agent1,0,6,6,0,0,6,0.0,0.0,0.0
full_memory,63,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,63,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,64,agent1,0,6,6,0,0,6,0.0,0.0,0.0
full_memory,64,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,65,agent1,0,2,2,0,1,1,-1.0,1.0,0.0
full_memory,65,agent1,1,1,1,0,0,1,0.0,1.0,1.0
full_memory,65,agent1,2,2,2,0,0,2,0.0,1.0,1.0
full_memory,68,agent1,0,5,5,0,0,5,0.0,0.0,0.0
full_memory,68,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,68,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,69,agent1,0,6,6,0,3,3,-3.0,1.0,-2.0
full_memory,69,agent1,1,6,6,0,5,1,-5.0,1.0,-4.0
full_memory,69,agent1,2,6,6,4,0,2,4.0,0.0,4.0
full_memory,70,agent1,0,5,5,0,0,5,0.0,0.0,0.0
full_memory,70,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,72,agent1,0,4,4,0,0,4,0.0,1.0,1.0
full_memory,72,agent1,1,2,2,0,0,2,0.0,1.0,1.0
full_memory,72,agent1,2,2,2,0,0,2,0.0,1.0,1.0
full_memory,73,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,73,agent1,2,3,3,0,0,3,0.0,0.0,0.0
full_memory,75,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,75,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,75,agent1,2,1,1,0,0,1,0.0,0.0,0.0
full_memory,76,agent1,1,1,1,0,0,1,0.0,1.0,1.0
full_memory,77,agent1,0,2,2,0,0,2,0.0,0.0,0.0
full_memory,77,agent1,2,5,5,0,0,5,0.0,0.0,0.0
full_memory,79,agent1,0,3,3,0,0,3,0.0,0.0,0.0
full_memory,79,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,8,agent1,0,5,5,0,3,2,-3.0,1.0,-2.0
full_memory,80,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,80,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,80,agent1,2,4,4,0,0,4,0.0,0.0,0.0
full_memory,82,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,82,agent1,1,5,5,0,0,5,0.0,0.0,0.0
full_memory,84,agent1,0,3,3,0,0,3,0.0,0.0,0.0
full_memory,84,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,84,agent1,2,4,4,0,0,4,0.0,0.0,0.0
full_memory,85,agent1,0,6,6,0,0,6,0.0,0.0,0.0
full_memory,85,agent1,1,5,5,0,0,5,0.0,0.0,0.0
full_memory,87,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,87,agent1,2,3,3,0,0,3,0.0,0.0,0.0
full_memory,88,agent1,1,4,4,0,0,4,0.0,0.0,0.0
full_memory,88,agent1,2,6,6,0,0,6,0.0,0.0,0.0
full_memory,89,agent1,1,6,6,0,0,6,0.0,0.0,0.0
full_memory,89,agent1,2,5,5,0,0,5,0.0,0.0,0.0
full_memory,9,agent1,0,4,4,4,0,0,4.0,0.0,4.0
full_memory,9,agent1,1,5,5,0,0,5,0.0,1.0,1.0
full_memory,9,agent1,2,5,5,0,1,4,-1.0,1.0,0.0
retrieval,10,agent1,0,4,3,2,0,1,2.0,0.0,2.0
retrieval,10,agent1,1,2,2,1,0,1,1.0,0.0,1.0
retrieval,10,agent1,2,2,2,1,0,1,1.0,0.0,1.0
retrieval,100,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,100,agent1,2,3,3,0,0,3,0.0,0.0,0.0
retrieval,11,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,11,agent1,2,5,3,0,0,3,0.0,0.0,0.0
retrieval,13,agent1,2,1,1,0,0,1,0.0,1.0,1.0
retrieval,16,agent1,0,5,3,0,0,3,0.0,1.0,1.0
retrieval,16,agent1,1,6,3,0,0,3,0.0,1.0,1.0
retrieval,17,agent1,0,4,3,0,0,3,0.0,0.0,0.0
retrieval,17,agent1,1,4,3,1,0,2,1.0,0.0,1.0
retrieval,19,agent1,0,5,3,0,3,0,-3.0,1.0,-2.0
retrieval,19,agent1,1,4,3,0,0,3,0.0,0.0,0.0
retrieval,19,agent1,2,2,2,0,0,2,0.0,0.0,0.0
retrieval,2,agent1,2,6,3,1,0,2,1.0,0.0,1.0
retrieval,21,agent1,0,1,1,0,0,1,0.0,0.0,0.0
retrieval,21,agent1,2,5,3,1,0,2,1.0,0.0,1.0
retrieval,22,agent1,0,4,3,0,0,3,0.0,1.0,1.0
retrieval,22,agent1,1,5,3,0,0,3,0.0,1.0,1.0
retrieval,23,agent1,0,4,3,1,0,2,1.0,0.0,1.0
retrieval,23,agent1,1,6,3,2,0,1,2.0,0.0,2.0
retrieval,23,agent1,2,5,3,1,0,2,1.0,0.0,1.0
retrieval,26,agent1,0,6,3,0,0,3,0.0,1.0,1.0
retrieval,26,agent1,1,6,3,0,0,3,0.0,1.0,1.0
retrieval,26,agent1,2,6,3,0,0,3,0.0,1.0,1.0
retrieval,27,agent1,0,5,3,0,0,3,0.0,1.0,1.0
retrieval,27,agent1,1,5,3,0,0,3,0.0,1.0,1.0
retrieval,27,agent1,2,4,3,0,0,3,0.0,1.0,1.0
retrieval,29,agent1,0,5,3,1,0,2,1.0,0.0,1.0
retrieval,29,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,3,agent1,0,6,3,0,3,0,-3.0,1.0,-2.0
retrieval,3,agent1,1,5,3,0,0,3,0.0,0.0,0.0
retrieval,30,agent1,2,4,3,0,0,3,0.0,1.0,1.0
retrieval,31,agent1,1,5,3,0,0,3,0.0,0.0,0.0
retrieval,31,agent1,2,3,3,0,1,2,-1.0,1.0,0.0
retrieval,32,agent1,0,4,3,0,3,0,-3.0,1.0,-2.0
retrieval,32,agent1,1,5,3,1,0,2,1.0,0.0,1.0
retrieval,33,agent1,1,5,3,2,0,1,2.0,0.0,2.0
retrieval,33,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,34,agent1,0,5,3,0,0,3,0.0,0.0,0.0
retrieval,34,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,34,agent1,2,5,3,1,0,2,1.0,0.0,1.0
retrieval,36,agent1,0,5,3,0,0,3,0.0,1.0,1.0
retrieval,36,agent1,1,5,3,0,0,3,0.0,1.0,1.0
retrieval,36,agent1,2,3,3,0,0,3,0.0,1.0,1.0
retrieval,37,agent1,0,6,3,0,0,3,0.0,1.0,1.0
retrieval,37,agent1,1,4,3,0,1,2,-1.0,1.0,0.0
retrieval,37,agent1,2,5,3,0,1,2,-1.0,1.0,0.0
retrieval,41,agent1,0,6,3,0,1,2,-1.0,1.0,0.0
retrieval,41,agent1,1,5,3,3,0,0,3.0,0.0,3.0
retrieval,41,agent1,2,5,3,0,0,3,0.0,1.0,1.0
retrieval,42,agent1,0,5,3,0,0,3,0.0,1.0,1.0
retrieval,42,agent1,1,6,3,0,0,3,0.0,1.0,1.0
retrieval,42,agent1,2,5,3,0,0,3,0.0,1.0,1.0
retrieval,48,agent1,0,5,3,0,0,3,0.0,1.0,1.0
retrieval,48,agent1,2,5,3,0,0,3,0.0,1.0,1.0
retrieval,51,agent1,0,6,3,0,0,3,0.0,0.0,0.0
retrieval,51,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,51,agent1,2,4,3,1,0,2,1.0,0.0,1.0
retrieval,57,agent1,0,6,3,0,0,3,0.0,0.0,0.0
retrieval,57,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,57,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,60,agent1,0,6,3,0,2,1,-2.0,1.0,-1.0
retrieval,60,agent1,1,6,3,0,0,3,0.0,1.0,1.0
retrieval,60,agent1,2,6,3,0,2,1,-2.0,1.0,-1.0
retrieval,61,agent1,0,5,3,0,0,3,0.0,0.0,0.0
retrieval,61,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,61,agent1,2,5,3,0,0,3,0.0,0.0,0.0
retrieval,63,agent1,0,6,3,0,0,3,0.0,0.0,0.0
retrieval,63,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,63,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,64,agent1,0,6,3,0,0,3,0.0,0.0,0.0
retrieval,64,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,65,agent1,0,2,2,0,1,1,-1.0,1.0,0.0
retrieval,65,agent1,1,1,1,0,0,1,0.0,1.0,1.0
retrieval,65,agent1,2,2,2,0,0,2,0.0,1.0,1.0
retrieval,68,agent1,0,5,3,0,0,3,0.0,0.0,0.0
retrieval,68,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,68,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,69,agent1,0,6,3,0,2,1,-2.0,1.0,-1.0
retrieval,69,agent1,1,6,3,0,3,0,-3.0,1.0,-2.0
retrieval,69,agent1,2,6,3,2,0,1,2.0,0.0,2.0
retrieval,70,agent1,0,5,3,0,0,3,0.0,0.0,0.0
retrieval,70,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,72,agent1,0,4,3,0,0,3,0.0,1.0,1.0
retrieval,72,agent1,1,2,2,0,0,2,0.0,1.0,1.0
retrieval,72,agent1,2,2,2,0,0,2,0.0,1.0,1.0
retrieval,73,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,73,agent1,2,3,3,0,0,3,0.0,0.0,0.0
retrieval,75,agent1,0,4,3,0,0,3,0.0,0.0,0.0
retrieval,75,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,75,agent1,2,1,1,0,0,1,0.0,0.0,0.0
retrieval,76,agent1,1,1,1,0,0,1,0.0,1.0,1.0
retrieval,77,agent1,0,2,2,0,0,2,0.0,0.0,0.0
retrieval,77,agent1,2,5,3,0,0,3,0.0,0.0,0.0
retrieval,79,agent1,0,3,3,0,0,3,0.0,0.0,0.0
retrieval,79,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,8,agent1,0,5,3,0,2,1,-2.0,1.0,-1.0
retrieval,80,agent1,0,4,3,0,0,3,0.0,0.0,0.0
retrieval,80,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,80,agent1,2,4,3,0,0,3,0.0,0.0,0.0
retrieval,82,agent1,0,4,3,0,0,3,0.0,0.0,0.0
retrieval,82,agent1,1,5,3,0,0,3,0.0,0.0,0.0
retrieval,84,agent1,0,3,3,0,0,3,0.0,0.0,0.0
retrieval,84,agent1,1,3,3,0,0,3,0.0,0.0,0.0
retrieval,84,agent1,2,4,3,0,0,3,0.0,0.0,0.0
retrieval,85,agent1,0,6,3,0,0,3,0.0,0.0,0.0
retrieval,85,agent1,1,5,3,0,0,3,0.0,0.0,0.0
retrieval,87,agent1,0,4,3,0,0,3,0.0,0.0,0.0
retrieval,87,agent1,2,3,3,0,0,3,0.0,0.0,0.0
retrieval,88,agent1,1,4,3,0,0,3,0.0,0.0,0.0
retrieval,88,agent1,2,6,3,0,0,3,0.0,0.0,0.0
retrieval,89,agent1,1,6,3,0,0,3,0.0,0.0,0.0
retrieval,89,agent1,2,5,3,0,0,3,0.0,0.0,0.0
retrieval,9,agent1,0,4,3,3,0,0,3.0,0.0,3.0
retrieval,9,agent1,1,5,3,0,0,3,0.0,1.0,1.0
retrieval,9,agent1,2,5,3,0,0,3,0.0,1.0,1.0
reflexion,10,agent1,0,4,3,2,0,1,2.0,0.0,2.0
reflexion,10,agent1,1,2,2,1,0,1,1.0,0.0,1.0
reflexion,10,agent1,2,2,2,1,0,1,1.0,0.0,1.0
reflexion,100,agent1,1,3,3,0,0,3,0.0,0.0,0.0
reflexion,100,agent1,2,3,3,0,0,3,0.0,0.0,0.0
reflexion,11,agent1,1,3,3,0,0,3,0.0,0.0,0.0
reflexion,11,agent1,2,5,3,0,0,3,0.0,0.0,0.0
reflexion,13,agent1,2,1,1,0,0,1,0.0,1.0,1.0
reflexion,16,agent1,0,5,3,0,0,3,0.0,1.0,1.0
reflexion,16,agent1,1,6,3,0,0,3,0.0,1.0,1.0
reflexion,17,agent1,0,4,3,0,0,3,0.0,0.0,0.0
reflexion,17,agent1,1,4,3,1,0,2,1.0,0.0,1.0
reflexion,19,agent1,0,5,3,0,2,1,-2.0,1.0,-1.0
reflexion,19,agent1,1,4,3,1,0,2,1.0,0.0,1.0
reflexion,19,agent1,2,2,2,0,0,2,0.0,0.0,0.0
reflexion,2,agent1,2,6,3,1,0,2,1.0,0.0,1.0
reflexion,21,agent1,0,1,1,0,0,1,0.0,0.0,0.0
reflexion,21,agent1,2,5,3,0,0,3,0.0,0.0,0.0
reflexion,22,agent1,0,4,3,0,0,3,0.0,1.0,1.0
reflexion,22,agent1,1,5,3,0,0,3,0.0,1.0,1.0
reflexion,23,agent1,0,4,3,1,0,2,1.0,0.0,1.0
reflexion,23,agent1,1,6,3,1,0,2,1.0,0.0,1.0
reflexion,23,agent1,2,5,3,1,0,2,1.0,0.0,1.0
reflexion,26,agent1,0,6,3,0,0,3,0.0,1.0,1.0
reflexion,26,agent1,1,6,3,0,0,3,0.0,1.0,1.0
reflexion,26,agent1,2,6,3,0,0,3,0.0,1.0,1.0
reflexion,27,agent1,0,5,3,0,0,3,0.0,1.0,1.0
reflexion,27,agent1,1,5,3,0,0,3,0.0,1.0,1.0
reflexion,27,agent1,2,4,3,0,0,3,0.0,1.0,1.0
reflexion,29,agent1,0,5,3,0,0,3,0.0,0.0,0.0
reflexion,29,agent1,1,6,3,0,0,3,0.0,0.0,0.0
reflexion,3,agent1,0,6,3,0,2,1,-2.0,1.0,-1.0
reflexion,3,agent1,1,5,3,1,0,2,1.0,0.0,1.0
reflexion,30,agent1,2,4,3,0,0,3,0.0,1.0,1.0
reflexion,31,agent1,1,5,3,0,0,3,0.0,0.0,0.0
reflexion,31,agent1,2,3,3,0,1,2,-1.0,1.0,0.0
reflexion,32,agent1,0,4,3,0,3,0,-3.0,1.0,-2.0
reflexion,32,agent1,1,5,3,1,0,2,1.0,0.0,1.0
reflexion,33,agent1,1,5,3,2,0,1,2.0,0.0,2.0
reflexion,33,agent1,2,6,3,0,0,3,0.0,0.0,0.0
reflexion,34,agent1,0,5,3,0,0,3,0.0,0.0,0.0
