scenario,task_id,seed,episode_id,team_success,team_reward,n_iterations,planning_scores,communication_scores,task_evaluation,code_quality,token_usage,total_milestones,raw_eval_fields,final_output_len,iter_summary_lengths,iter_task_results_counts,runtime
bargaining,14,1,50d6e760118b78af4346579b,True,1.0,1,[],[-1],None,None,4416,0,planning_scores(-1);communication_scores(-1),0,[1635],[0],106.56
bargaining,87,0,cf4e64da9c05c33b4caad553,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21809,0,planning_scores(-1);communication_scores(-1),0,"[1542, 1967, 1542, 1920, 1933]","[0, 0, 0, 0, 0]",502.52
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22049,0,planning_scores(-1);communication_scores(-1),0,"[1938, 1961, 1898, 1942, 1932]","[0, 0, 0, 0, 0]",567.29
bargaining,70,0,474790b23c39e1ba1a269122,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,20812,0,planning_scores(-1);communication_scores(-1),0,"[1346, 1437, 1776, 1444, 1437]","[0, 0, 0, 0, 0]",499.75
bargaining,70,1,ec302424e85cea9fae43aed3,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,20852,0,planning_scores(-1);communication_scores(-1),0,"[1439, 1776, 1776, 1395, 1439]","[0, 0, 0, 0, 0]",502.21
bargaining,12,0,9d6e32df6125af5d899cd66f,True,1.0,2,[],"[-1, -1]",None,None,8632,0,planning_scores(-1);communication_scores(-1),0,"[1965, 1947]","[0, 0]",206.48
bargaining,12,1,b64202e3abb3bdca8fdcf32c,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21826,0,planning_scores(-1);communication_scores(-1),0,"[2269, 1921, 1909, 1942, 1855]","[0, 0, 0, 0, 0]",695.0
bargaining,76,0,60e0509a6dd24672a2ebe507,True,1.0,1,[],[-1],None,None,4442,0,planning_scores(-1);communication_scores(-1),0,[1702],[0],106.43
bargaining,76,1,5b6e89e80b3c540af39b3b8c,True,1.0,1,[],[-1],None,None,4448,0,planning_scores(-1);communication_scores(-1),0,[1705],[0],107.2
bargaining,55,0,df59c6a80ed946869fe263c1,True,1.0,2,[],"[-1, -1]",None,None,9075,0,planning_scores(-1);communication_scores(-1),0,"[2035, 2110]","[0, 0]",269.52
bargaining,55,1,67ef051e8a0869f706e4d926,True,1.0,1,[],[-1],None,None,4360,0,planning_scores(-1);communication_scores(-1),0,[1378],[0],106.22
bargaining,5,0,19fecde0db8f05bebcab70bd,True,1.0,1,[],[-1],None,None,4560,0,planning_scores(-1);communication_scores(-1),0,[1756],[0],106.52
bargaining,5,1,007b2c1bad157cf05a31ca26,True,1.0,1,[],[-1],None,None,4535,0,planning_scores(-1);communication_scores(-1),0,[1511],[0],106.43
bargaining,28,0,e9a867db7ce680a7fa2868c1,True,1.0,3,[],"[-1, -1, -1]",None,None,12884,0,planning_scores(-1);communication_scores(-1),0,"[1812, 1770, 2048]","[0, 0, 0]",307.17
bargaining,28,1,036692e93170ab829c8a259f,True,1.0,2,[],"[-1, -1]",None,None,8528,0,planning_scores(-1);communication_scores(-1),0,"[1709, 1759]","[0, 0]",207.5
bargaining,30,0,14292ce74c5ac2f6b3da0522,True,1.0,1,[],[-1],None,None,4279,0,planning_scores(-1);communication_scores(-1),0,[1496],[0],107.05
bargaining,30,1,04a4dd394474267a2c4d0188,True,1.0,2,[],"[-1, -1]",None,None,8830,0,planning_scores(-1);communication_scores(-1),0,"[2117, 2146]","[0, 0]",207.53
bargaining,65,0,239405982be3c93f4ee5c924,True,1.0,2,[],"[-1, -1]",None,None,8709,0,planning_scores(-1);communication_scores(-1),0,"[1585, 1585]","[0, 0]",330.7
bargaining,65,1,03ac37fe7bd2ee8b12ce325f,True,1.0,4,[],"[-1, -1, -1, -1]",None,None,17404,0,planning_scores(-1);communication_scores(-1),0,"[1941, 1477, 1477, 1360]","[0, 0, 0, 0]",591.61
bargaining,78,0,bfaa8c9477c446afc6db2463,True,1.0,2,[],"[-1, -1]",None,None,8913,0,planning_scores(-1);communication_scores(-1),0,"[2008, 2259]","[0, 0]",271.91
bargaining,78,1,c709ac0ae389a5808393f1de,True,1.0,3,[],"[-1, -1, -1]",None,None,13291,0,planning_scores(-1);communication_scores(-1),0,"[2236, 1906, 1963]","[0, 0, 0]",367.45
bargaining,72,0,250316e16871b3a940b85a08,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22291,0,planning_scores(-1);communication_scores(-1),0,"[2051, 2026, 2132, 1950, 1996]","[0, 0, 0, 0, 0]",696.22
bargaining,72,1,0873799cc753fc1b0a1157f1,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22323,0,planning_scores(-1);communication_scores(-1),0,"[2061, 1890, 1964, 1990, 1987]","[0, 0, 0, 0, 0]",759.8
coding,26,0,a68f5faacf1e42508f70a4fa,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21374,0,planning_scores(-1);communication_scores(-1),0,"[2876, 2845, 133, 133, 133]","[2, 2, 2, 2, 2]",189.18
coding,26,1,532404ea8b60915585f23dbd,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,20723,0,planning_scores(-1);communication_scores(-1),0,"[133, 2841, 133, 133, 133]","[2, 2, 2, 2, 2]",181.84
coding,92,0,af7f13ba4b1d63146cf0f9c5,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23313,0,planning_scores(-1);communication_scores(-1),0,"[3885, 4869, 3932, 133, 133]","[2, 2, 2, 2, 2]",201.81
coding,92,1,469a65414807e02c56fad317,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22248,0,planning_scores(-1);communication_scores(-1),0,"[3283, 5590, 133, 133, 133]","[2, 2, 2, 2, 2]",193.44
coding,84,0,d3830ffa0235fe40f1168511,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28708,0,planning_scores(-1);communication_scores(-1),0,"[7491, 7868, 7657, 5192, 133]","[2, 2, 2, 2, 2]",233.1
coding,84,1,04ef17840bda7884dca80852,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,25468,0,planning_scores(-1);communication_scores(-1),0,"[8070, 8141, 133, 133, 133]","[2, 2, 2, 2, 2]",207.01
coding,90,0,58b167b3128a730663cd63c8,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24977,0,planning_scores(-1);communication_scores(-1),0,"[133, 133, 133, 133, 133]","[3, 3, 3, 3, 3]",179.72
coding,90,1,22c63dda3380f86edff3e711,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22669,0,planning_scores(-1);communication_scores(-1),0,"[133, 6184, 133, 133, 133]","[3, 2, 2, 2, 2]",188.51
coding,70,0,116cc7cf37c243434c165a01,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24422,0,planning_scores(-1);communication_scores(-1),0,"[5110, 4723, 4731, 4430, 5267]","[2, 2, 2, 2, 2]",229.38
coding,70,1,fe8288a913c8b7ed4e1ec55b,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,25355,0,planning_scores(-1);communication_scores(-1),0,"[5122, 5121, 3908, 4758, 4378]","[2, 2, 2, 2, 2]",226.48
coding,54,0,1dd22513685e9973a4bc8c08,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21920,0,planning_scores(-1);communication_scores(-1),0,"[2685, 133, 133, 133, 2968]","[2, 2, 2, 2, 2]",185.83
coding,54,1,89b9a2750af8e3ff6238ea12,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24256,0,planning_scores(-1);communication_scores(-1),0,"[3178, 4085, 133, 3889, 133]","[2, 2, 2, 2, 2]",198.0
coding,29,0,ecfc89d9d3723d98f0383a4d,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,25021,0,planning_scores(-1);communication_scores(-1),0,"[2613, 1184, 3624, 2517, 2517]","[2, 2, 2, 2, 2]",197.93
coding,29,1,77e4e95f0e4777c9ea418f6d,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23010,0,planning_scores(-1);communication_scores(-1),0,"[1390, 1011, 1011, 956, 943]","[3, 2, 2, 2, 2]",182.33
coding,58,0,adbcbda6644b60099615b1f9,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23326,0,planning_scores(-1);communication_scores(-1),0,"[3974, 3729, 4336, 4012, 4013]","[2, 2, 2, 2, 2]",213.53
coding,58,1,95d76aa83533671500edc27c,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23109,0,planning_scores(-1);communication_scores(-1),0,"[5814, 4283, 133, 4141, 133]","[2, 2, 2, 2, 2]",203.8
coding,76,0,fe76d630fea2e398de4709a3,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28181,0,planning_scores(-1);communication_scores(-1),0,"[8273, 4445, 4624, 7491, 7491]","[2, 2, 2, 2, 2]",242.11
coding,76,1,83c0a5525fb005f91eddb5aa,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27725,0,planning_scores(-1);communication_scores(-1),0,"[4574, 4091, 4244, 5889, 5379]","[2, 2, 2, 2, 2]",238.25
coding,36,0,726588b7a976fdc1055c173f,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21930,0,planning_scores(-1);communication_scores(-1),0,"[2387, 3058, 2581, 3060, 2506]","[2, 2, 2, 2, 2]",202.91
coding,36,1,961610f700fec3cdd1804920,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23148,0,planning_scores(-1);communication_scores(-1),0,"[3193, 2862, 2628, 2553, 2577]","[2, 2, 2, 2, 2]",202.8
coding,1,0,b282d0bbcdf5c92807903cab,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,25478,0,planning_scores(-1);communication_scores(-1),0,"[4401, 4344, 3808, 3436, 5079]","[2, 2, 2, 2, 2]",216.54
coding,1,1,2e34d93a32c357a320d9cffe,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26929,0,planning_scores(-1);communication_scores(-1),0,"[7125, 4776, 6552, 4777, 4345]","[2, 2, 2, 2, 2]",235.09
coding,98,0,8023cd5deedafb3d214412d5,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22694,0,planning_scores(-1);communication_scores(-1),0,"[5156, 5823, 133, 133, 133]","[2, 2, 2, 2, 2]",195.86
coding,98,1,0a680b5bb6fed2fc6b4ee11f,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,19006,0,planning_scores(-1);communication_scores(-1),0,"[133, 133, 133, 133, 133]","[2, 2, 2, 2, 2]",173.75
coding,21,0,790017803c0e9f94dcb854ae,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23361,0,planning_scores(-1);communication_scores(-1),0,"[3803, 4483, 133, 4185, 4206]","[2, 2, 1, 2, 2]",210.45
coding,21,1,63b4082e3144625f7a6c14c7,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,25713,0,planning_scores(-1);communication_scores(-1),0,"[4773, 4402, 4200, 4337, 3054]","[3, 2, 2, 2, 2]",218.28
coding,55,0,4d59fb1d8e064e9fa0bbfcbd,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24109,0,planning_scores(-1);communication_scores(-1),0,"[4129, 4041, 3261, 3942, 4284]","[2, 2, 2, 2, 2]",220.4
coding,55,1,211f48a1e855c8ae4cc88371,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21381,0,planning_scores(-1);communication_scores(-1),0,"[3310, 3240, 133, 133, 133]","[2, 2, 2, 2, 2]",187.37
coding,44,0,c0e620b99bb35834bf15641a,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24453,0,planning_scores(-1);communication_scores(-1),0,"[3576, 3324, 3960, 3284, 3849]","[2, 2, 2, 2, 2]",215.31
coding,44,1,21b00c0bb80dcf85559970d1,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,23920,0,planning_scores(-1);communication_scores(-1),0,"[5244, 4053, 3674, 4308, 3365]","[2, 2, 2, 2, 2]",216.34
coding,20,0,20d026aa7a951614a235b90a,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21860,0,planning_scores(-1);communication_scores(-1),0,"[133, 133, 133, 5788, 4773]","[2, 2, 2, 2, 2]",196.32
coding,20,1,0736cebe13bbe994ba79a11a,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,22553,0,planning_scores(-1);communication_scores(-1),0,"[3059, 6068, 133, 145, 133]","[2, 2, 2, 2, 1]",194.53
coding,28,0,40f63c70eb557331a4d3c900,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,29498,0,planning_scores(-1);communication_scores(-1),0,"[6148, 8564, 7696, 5743, 5743]","[3, 2, 2, 2, 2]",242.88
coding,28,1,75e11d5b95d3849145607ee6,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26097,0,planning_scores(-1);communication_scores(-1),0,"[7721, 133, 7776, 8757, 5724]","[2, 2, 2, 2, 2]",237.41
coding,14,0,26683519844bd7bb9d3c759d,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27177,0,planning_scores(-1);communication_scores(-1),0,"[4503, 133, 3407, 4136, 4537]","[2, 1, 1, 2, 2]",209.81
coding,14,1,3bd0de6a8aa2f8919c6dc962,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27926,0,planning_scores(-1);communication_scores(-1),0,"[4656, 4235, 3800, 3966, 4424]","[2, 2, 1, 2, 2]",213.57
coding,12,0,b583a02da8c940b004d2ade7,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24789,0,planning_scores(-1);communication_scores(-1),0,"[5884, 8009, 133, 133, 133]","[2, 2, 2, 2, 2]",203.29
coding,12,1,00277b540950d5189eb1534b,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,24199,0,planning_scores(-1);communication_scores(-1),0,"[5575, 5575, 133, 133, 133]","[2, 2, 2, 2, 2]",196.43
coding,49,0,0deb6567dc1d6b7a143cc308,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27894,0,planning_scores(-1);communication_scores(-1),0,"[7941, 4039, 133, 5383, 4390]","[2, 2, 2, 1, 2]",226.56
coding,49,1,08f507ac3e82f402c4167528,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,18676,0,planning_scores(-1);communication_scores(-1),0,"[133, 133, 133, 133, 133]","[2, 2, 2, 2, 2]",173.74
database,13,0,70b02e2436b7ed36b715dd12,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27063,0,planning_scores(-1);communication_scores(-1),0,"[1243, 1255, 1255, 1271, 567]","[5, 5, 5, 5, 5]",196.95
database,13,1,56cec34c6e255da0ff688659,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,29237,0,planning_scores(-1);communication_scores(-1),0,"[832, 1367, 1143, 1328, 950]","[5, 5, 5, 5, 5]",200.76
database,46,0,95828ab1496f0336d027d253,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26559,0,planning_scores(-1);communication_scores(-1),0,"[920, 938, 921, 921, 852]","[5, 5, 5, 5, 5]",194.15
database,46,1,6d594780c7fd0a5bcf4de471,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26473,0,planning_scores(-1);communication_scores(-1),0,"[893, 812, 920, 1529, 1529]","[5, 5, 5, 5, 5]",195.14
database,45,0,522eb61619386805654bf351,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27668,0,planning_scores(-1);communication_scores(-1),0,"[1522, 1642, 1371, 1106, 1568]","[5, 5, 5, 5, 5]",202.27
database,45,1,1e1c6b0e4b4616e0b9c18179,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28429,0,planning_scores(-1);communication_scores(-1),0,"[1312, 1389, 1773, 1773, 1738]","[5, 5, 5, 5, 5]",203.34
database,78,0,1a8f283c34e88bef9ddf0954,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28310,0,planning_scores(-1);communication_scores(-1),0,"[1747, 1709, 2436, 2436, 1747]","[5, 5, 5, 5, 5]",206.46
database,78,1,76a7a975772f82e5c33c17f6,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27968,0,planning_scores(-1);communication_scores(-1),0,"[2086, 2086, 1774, 1796, 1072]","[5, 5, 5, 5, 5]",203.56
database,34,0,d675fd00d94dff97503db9b9,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,30799,0,planning_scores(-1);communication_scores(-1),0,"[1008, 1000, 794, 984, 1605]","[5, 5, 5, 4, 5]",202.95
database,34,1,fab21402f98b36b53e8b9a71,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28255,0,planning_scores(-1);communication_scores(-1),0,"[794, 856, 1659, 1643, 1820]","[5, 5, 5, 5, 5]",204.29
database,6,0,d0dd0f25af5d761b628f60ce,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27248,0,planning_scores(-1);communication_scores(-1),0,"[843, 1047, 895, 1590, 1700]","[5, 5, 5, 5, 5]",199.89
database,6,1,28ff3c5768ccb643e465bb0d,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26954,0,planning_scores(-1);communication_scores(-1),0,"[1207, 1145, 1176, 686, 1636]","[5, 5, 5, 5, 5]",199.14
database,94,0,c472b453579dbc80078d3f27,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26887,0,planning_scores(-1);communication_scores(-1),0,"[1372, 941, 1683, 1653, 1681]","[5, 5, 5, 5, 5]",199.26
database,94,1,985d7dc958386b5030766af7,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,35933,0,planning_scores(-1);communication_scores(-1),0,"[1134, 1326, 1323, 1500, 1748]","[5, 5, 5, 5, 5]",206.68
database,59,0,30f97726f90ed40cf350b5dd,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27975,0,planning_scores(-1);communication_scores(-1),0,"[2038, 1728, 2046, 1974, 1874]","[4, 5, 5, 5, 5]",208.15
database,59,1,ac16ea87d2daad0b988b09f2,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27882,0,planning_scores(-1);communication_scores(-1),0,"[1709, 1709, 1150, 1841, 1937]","[5, 5, 5, 5, 5]",202.65
database,69,0,8358077572d1723753d0f1f4,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28058,0,planning_scores(-1);communication_scores(-1),0,"[1293, 2127, 1542, 1542, 1696]","[5, 5, 5, 5, 5]",202.65
database,69,1,9aa2e34c4d8bf4e041fd597e,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28686,0,planning_scores(-1);communication_scores(-1),0,"[1593, 1843, 1616, 1765, 2089]","[5, 5, 5, 5, 5]",204.37
database,16,0,f590bb26c2274bbffacb6c91,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,32141,0,planning_scores(-1);communication_scores(-1),0,"[888, 620, 2135, 1090, 731]","[5, 5, 5, 2, 5]",202.72
database,16,1,0bf05745760c9f7ddd338244,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26990,0,planning_scores(-1);communication_scores(-1),0,"[1430, 1463, 901, 1201, 1549]","[5, 5, 5, 5, 5]",199.03
database,49,0,8c85a1265f1bb85147214f10,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,35545,0,planning_scores(-1);communication_scores(-1),0,"[1288, 583, 473, 843, 843]","[5, 5, 4, 5, 5]",202.82
database,49,1,b976d250fe9aeb81e6c27ba6,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,35063,0,planning_scores(-1);communication_scores(-1),0,"[839, 803, 806, 815, 806]","[5, 5, 5, 5, 5]",200.2
database,11,0,9b5ef5394158f52d95ce6638,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,44995,0,planning_scores(-1);communication_scores(-1),0,"[1036, 1247, 1247, 1048, 803]","[5, 5, 5, 5, 5]",217.81
database,11,1,c5326361a1dce03bd9e84546,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26917,0,planning_scores(-1);communication_scores(-1),0,"[1146, 1764, 980, 1185, 1182]","[5, 5, 5, 5, 5]",197.55
database,71,0,1dcafbd1f75d52e50f48ad2f,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28072,0,planning_scores(-1);communication_scores(-1),0,"[1638, 1339, 1471, 1420, 1380]","[5, 5, 5, 5, 5]",201.91
database,71,1,92ab2f62870c3c1e40d8ccb0,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,37465,0,planning_scores(-1);communication_scores(-1),0,"[1071, 1328, 830, 831, 1639]","[5, 5, 5, 5, 5]",214.66
database,38,0,cc90e8e2de8fbed2362f0c28,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26719,0,planning_scores(-1);communication_scores(-1),0,"[1116, 1322, 853, 1025, 1461]","[5, 5, 5, 5, 5]",196.78
database,38,1,35913a4c29a88feff35e72aa,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26628,0,planning_scores(-1);communication_scores(-1),0,"[850, 850, 892, 1327, 1327]","[5, 5, 5, 5, 5]",196.6
database,81,0,325270253d0cbc5287effc9c,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27715,0,planning_scores(-1);communication_scores(-1),0,"[1637, 1539, 1239, 1257, 1319]","[5, 5, 5, 5, 5]",204.23
database,81,1,deab31a95a6b2dfe0c64b963,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,26717,0,planning_scores(-1);communication_scores(-1),0,"[671, 911, 1420, 824, 1025]","[5, 5, 5, 5, 5]",196.47
database,80,0,d883dd8450dfae604aed0fe2,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28197,0,planning_scores(-1);communication_scores(-1),0,"[900, 900, 1208, 1006, 2121]","[5, 5, 5, 5, 5]",199.99
database,80,1,11cf0a1d2ee2113046ef3aec,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28430,0,planning_scores(-1);communication_scores(-1),0,"[1518, 2200, 1044, 2153, 2054]","[5, 5, 5, 5, 5]",203.94
database,47,0,79ea115cbc67cdce6de96ec6,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27232,0,planning_scores(-1);communication_scores(-1),0,"[847, 1011, 1520, 881, 1466]","[5, 5, 5, 5, 5]",198.49
database,47,1,7c6687d77a57c85b0a30e1a6,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27130,0,planning_scores(-1);communication_scores(-1),0,"[1209, 1534, 688, 1432, 1534]","[5, 5, 5, 5, 5]",198.91
database,74,0,5c3a510bf09803f46ab4f2b5,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27293,0,planning_scores(-1);communication_scores(-1),0,"[1660, 1474, 819, 1664, 1016]","[5, 5, 5, 5, 5]",198.89
database,74,1,641f87a31225a4416e6c2b88,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,28016,0,planning_scores(-1);communication_scores(-1),0,"[1699, 1635, 1670, 1670, 1668]","[5, 5, 5, 5, 5]",202.94
database,25,0,5c089f90071a9abb4a9b2c5e,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27973,0,planning_scores(-1);communication_scores(-1),0,"[1316, 872, 952, 860, 989]","[5, 5, 5, 5, 5]",197.26
database,25,1,2d38afb274bd30c8c71256e8,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,36589,0,planning_scores(-1);communication_scores(-1),0,"[891, 1560, 931, 914, 643]","[5, 5, 5, 5, 5]",203.47
database,91,0,d7012c98331a4ccd63a4ba0e,True,1.0,5,[],"[-1, -1, -1, -1]",None,None,39722,0,planning_scores(-1);communication_scores(-1),0,"[1072, 1449, 1628, 1235, 1024]","[5, 5, 5, 5, 2]",213.6
database,91,1,ce8df6e7de358c7e6c3a00c8,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,27618,0,planning_scores(-1);communication_scores(-1),0,"[1183, 1302, 1113, 1106, 1106]","[5, 5, 5, 5, 5]",196.97
